p cnf 300 1200
164 146 -9 0
-105 255 70 0
43 -100 132 0
114 -241 82 0
-69 -130 -257 0
300 295 -84 0
-167 -206 -127 0
-269 -221 197 0
300 176 299 0
-165 -22 -291 0
248 269 -133 0
-192 177 83 0
284 -37 16 0
-229 -191 -252 0
-82 126 271 0
-195 -200 261 0
-122 83 -77 0
-128 -276 25 0
-164 -107 118 0
212 -159 -35 0
285 -178 -228 0
53 -41 91 0
-127 -195 -90 0
45 126 -194 0
246 -176 195 0
270 147 -136 0
263 -169 -174 0
-245 16 -2 0
-188 170 137 0
-281 -200 -129 0
282 -136 15 0
130 26 -175 0
-155 193 -300 0
-228 100 95 0
-251 -173 -175 0
237 -254 76 0
45 201 -262 0
-225 117 -170 0
230 151 20 0
36 89 68 0
236 253 -246 0
-244 -197 -143 0
-135 63 10 0
-15 -267 48 0
-180 200 -29 0
162 -102 -118 0
222 35 105 0
97 164 241 0
133 22 -243 0
-177 -254 -43 0
111 56 5 0
118 62 116 0
-263 -34 -30 0
-123 153 -68 0
137 293 169 0
78 125 11 0
266 -63 137 0
293 -221 -140 0
-53 -140 137 0
-254 138 -87 0
-55 111 -101 0
-212 233 6 0
-256 290 -30 0
-297 159 236 0
-187 -131 47 0
59 196 275 0
290 -52 99 0
-3 225 231 0
109 -180 -102 0
16 271 -169 0
-293 -222 186 0
-183 -100 153 0
-181 -258 -204 0
-207 257 21 0
-255 129 -220 0
-182 -4 -143 0
-234 64 282 0
-203 -9 51 0
-133 -145 73 0
237 -293 -235 0
-224 -185 285 0
33 -117 -197 0
-89 -125 64 0
14 111 125 0
159 -105 -107 0
-209 -88 -219 0
229 -92 71 0
79 -100 -277 0
-107 276 197 0
-115 -282 299 0
249 181 3 0
-261 -194 10 0
-51 184 -147 0
-132 -245 -95 0
-269 -53 -168 0
-38 -132 -2 0
-92 -286 172 0
55 125 -40 0
6 -53 276 0
50 13 -62 0
-176 181 63 0
-189 292 295 0
-193 -2 -170 0
8 -35 -232 0
23 79 156 0
-197 233 8 0
257 -16 -97 0
58 175 131 0
56 -27 123 0
260 234 31 0
55 130 240 0
288 -35 -83 0
160 -217 147 0
150 261 -40 0
-173 -281 -54 0
-84 -88 -291 0
-175 -70 -118 0
-87 184 156 0
292 -74 -96 0
-256 -138 -159 0
-160 -59 -291 0
-17 256 -148 0
253 96 -168 0
-247 -1 146 0
40 260 106 0
-293 -164 124 0
143 253 -207 0
-13 212 202 0
-14 23 227 0
-123 -54 -87 0
163 -72 -180 0
241 218 93 0
29 -282 -78 0
115 -251 214 0
133 -24 -177 0
84 10 -50 0
-112 45 -84 0
50 260 37 0
291 196 -35 0
74 -291 108 0
262 108 -114 0
151 -77 134 0
67 -29 -52 0
-201 171 -224 0
55 48 -281 0
109 203 186 0
-95 6 49 0
14 220 -219 0
274 246 -9 0
-208 -291 168 0
172 -152 -249 0
19 184 155 0
211 202 277 0
245 281 -38 0
-59 -291 -55 0
240 49 -166 0
-168 174 -281 0
17 189 196 0
35 -145 201 0
132 252 12 0
46 -227 -269 0
-29 -54 32 0
-46 260 -27 0
229 30 -204 0
-55 -75 144 0
215 -191 29 0
226 149 26 0
-267 195 -262 0
212 34 241 0
214 -47 -100 0
-134 -139 152 0
-265 88 233 0
185 119 176 0
286 -37 91 0
-134 236 -198 0
115 246 287 0
-242 83 22 0
269 139 204 0
-58 188 149 0
-41 -161 -14 0
33 193 -98 0
-118 -57 214 0
-50 4 109 0
155 52 208 0
27 -208 -245 0
128 89 212 0
10 239 -196 0
-210 31 -21 0
-127 178 -2 0
261 -48 143 0
-99 83 -293 0
-241 39 9 0
-67 295 -284 0
298 -142 -161 0
-37 -161 -81 0
258 248 217 0
250 108 271 0
-203 42 -79 0
-224 5 -93 0
-169 229 115 0
24 291 -33 0
186 299 51 0
300 -156 107 0
-239 167 233 0
-85 -83 -130 0
268 -163 -74 0
-85 197 -74 0
-77 212 181 0
-18 -298 113 0
65 -174 178 0
-250 261 135 0
8 -236 -229 0
-19 180 190 0
-239 -276 -111 0
141 -83 61 0
-155 -47 169 0
-276 63 -186 0
179 176 -272 0
103 -194 297 0
-139 142 -74 0
4 16 147 0
239 -126 -2 0
248 228 113 0
-300 -59 71 0
10 188 240 0
266 -278 -82 0
89 -2 238 0
-8 162 52 0
58 -260 133 0
-106 55 142 0
129 12 -20 0
221 -52 57 0
-2 181 60 0
-81 -186 -265 0
-212 -100 -8 0
70 -213 -253 0
5 91 199 0
-53 241 -43 0
-101 -157 -259 0
-189 9 188 0
-44 -25 131 0
-16 -82 -154 0
199 160 -89 0
-63 -116 -58 0
-13 113 217 0
27 -47 -281 0
156 -123 -166 0
164 163 -192 0
-175 -278 11 0
-72 181 -20 0
-274 -25 294 0
-194 203 174 0
-248 -153 41 0
-138 250 127 0
-176 228 193 0
-120 -145 -207 0
4 -101 206 0
-243 42 -102 0
275 -94 -223 0
122 -127 -108 0
-187 -285 59 0
107 -68 -247 0
230 -124 -119 0
16 -242 129 0
-208 -188 -206 0
251 285 31 0
-286 -240 163 0
-31 -96 -93 0
-183 189 268 0
-90 205 288 0
196 -4 84 0
280 45 -54 0
-225 -193 201 0
183 -18 -141 0
152 -29 249 0
-109 292 -78 0
-192 20 76 0
-287 40 135 0
182 28 -68 0
-25 -30 -116 0
43 147 216 0
138 -239 97 0
12 283 196 0
212 126 -8 0
-231 78 -128 0
248 -119 -286 0
-139 82 -96 0
-163 270 196 0
-70 254 158 0
167 -114 16 0
-266 171 40 0
-34 242 297 0
-293 -292 -90 0
165 -76 8 0
215 -195 84 0
55 207 21 0
-192 -139 91 0
-186 -9 189 0
-64 229 -299 0
53 -135 -200 0
-261 -282 -99 0
-2 -275 266 0
-162 220 34 0
209 -238 -297 0
9 -31 105 0
205 -250 77 0
-198 -170 -115 0
-16 -65 9 0
-272 26 252 0
272 124 -186 0
32 234 -142 0
-188 98 161 0
262 23 159 0
275 -73 72 0
53 56 -203 0
155 -235 258 0
-155 169 -269 0
-195 -271 269 0
196 -236 -127 0
156 -7 -163 0
115 196 -60 0
53 -201 -54 0
-101 2 -33 0
-298 -48 266 0
270 287 -34 0
-153 -179 264 0
-158 68 -2 0
-240 -264 -112 0
-212 -36 -145 0
-21 272 199 0
110 222 -179 0
-248 -108 45 0
225 14 52 0
22 -99 -121 0
243 30 -99 0
95 53 -17 0
75 -255 36 0
-134 -62 -60 0
187 116 248 0
-130 -299 134 0
-77 -82 151 0
-91 37 -161 0
-108 198 262 0
34 121 -155 0
284 -233 120 0
179 -210 -205 0
-40 86 72 0
19 -160 153 0
222 191 -62 0
-138 -9 -56 0
107 44 -157 0
-144 221 -207 0
197 -28 -48 0
-293 239 114 0
119 -103 -265 0
-115 -20 -241 0
162 118 -276 0
48 -182 -67 0
-136 39 32 0
14 96 287 0
296 -13 -29 0
134 -300 240 0
206 200 -195 0
-11 -103 124 0
140 166 263 0
10 104 47 0
-230 -43 104 0
-61 54 -121 0
-35 -132 297 0
137 229 172 0
-4 -152 101 0
-56 -83 -284 0
112 127 282 0
-49 -214 92 0
217 96 83 0
42 37 26 0
180 -272 -179 0
152 38 -176 0
26 178 10 0
131 -118 25 0
31 -37 174 0
165 -18 -58 0
166 -133 -107 0
151 -97 269 0
122 230 136 0
115 203 -131 0
-17 -201 124 0
-272 29 292 0
-105 -162 56 0
40 261 229 0
-7 124 88 0
257 -300 -12 0
-93 273 -40 0
-108 81 -131 0
277 -219 106 0
196 -209 -284 0
25 -213 -15 0
-243 242 -61 0
65 260 -195 0
203 277 -232 0
131 271 149 0
-146 265 94 0
-64 43 188 0
-168 -116 260 0
-278 -92 42 0
76 -37 -281 0
232 125 -217 0
-21 89 -153 0
-153 107 -188 0
-17 -102 5 0
-59 -91 -36 0
107 -96 -110 0
-31 174 -56 0
-3 287 -204 0
-114 -89 -237 0
187 -69 -269 0
-45 212 -253 0
-261 -231 -285 0
-45 -72 -274 0
279 -171 -52 0
-72 82 280 0
-67 -271 150 0
-240 -207 283 0
-183 278 262 0
145 -28 219 0
-110 -217 179 0
-227 177 -94 0
225 -70 291 0
198 217 297 0
-4 -98 -208 0
292 261 -46 0
125 29 -12 0
101 -203 3 0
-188 -52 -128 0
123 298 -111 0
-80 18 -264 0
-271 -157 46 0
-284 16 -107 0
-114 -240 46 0
271 -269 -225 0
175 -124 -54 0
283 -125 86 0
59 -248 -168 0
-115 215 -180 0
-173 120 84 0
154 99 -51 0
23 219 -113 0
-207 85 120 0
-51 77 67 0
203 91 -274 0
-228 -217 -74 0
121 -106 287 0
255 290 -106 0
101 217 271 0
164 159 268 0
-39 -177 231 0
31 143 1 0
-64 278 217 0
-239 -289 175 0
227 -68 -17 0
248 -31 -54 0
-210 141 154 0
-300 -158 293 0
57 297 31 0
-236 -187 27 0
-139 258 185 0
-3 -6 219 0
110 -68 -296 0
170 74 -11 0
154 35 -120 0
261 91 -263 0
252 248 -128 0
-191 -293 -184 0
-94 90 133 0
-280 186 -106 0
-85 49 203 0
-150 -92 -230 0
-139 51 194 0
-21 215 144 0
138 280 -197 0
-299 -26 147 0
159 91 170 0
-165 54 240 0
-69 -166 -8 0
-183 258 31 0
-100 50 197 0
-56 -176 141 0
-173 159 18 0
104 -295 -138 0
-8 51 286 0
118 242 -195 0
146 283 -236 0
122 -236 -154 0
-126 -134 -74 0
34 -109 -172 0
-4 50 162 0
-30 41 4 0
118 240 59 0
-72 -284 -138 0
-274 3 -130 0
-2 -44 -230 0
-228 -19 87 0
-272 256 260 0
-231 -86 -180 0
73 249 300 0
-179 -196 -252 0
-247 -31 -122 0
44 223 39 0
167 -45 82 0
35 -233 102 0
249 92 -229 0
-192 -206 -219 0
-174 -28 116 0
-116 263 102 0
-228 35 208 0
-2 -225 -15 0
151 -68 298 0
-222 -211 -210 0
35 -214 -180 0
204 48 -75 0
-122 -20 101 0
202 72 -132 0
-16 17 118 0
-172 -189 -256 0
226 34 -285 0
-65 263 49 0
-138 12 -271 0
-235 -79 248 0
-165 -190 -279 0
114 -112 -171 0
209 236 48 0
-70 236 -255 0
-78 -274 -59 0
-112 25 -288 0
240 175 -107 0
44 296 291 0
235 27 -122 0
-263 -50 -257 0
101 -197 98 0
107 300 -6 0
187 -98 -126 0
-193 120 -147 0
-272 -266 -127 0
2 7 -39 0
3 -98 -110 0
155 -107 -126 0
-5 213 -79 0
257 -134 -53 0
115 233 -255 0
-70 -253 273 0
50 -248 -174 0
-261 -151 -9 0
174 236 -167 0
199 -14 237 0
-42 86 -32 0
244 278 194 0
175 114 -276 0
163 -294 -15 0
-113 -177 -188 0
89 -33 -3 0
298 -184 -109 0
-49 -188 98 0
95 120 -115 0
97 -19 194 0
24 277 -148 0
259 -156 -137 0
269 -220 -205 0
37 199 24 0
277 198 220 0
189 104 -142 0
1 -214 123 0
-58 -2 99 0
96 122 88 0
-244 -154 -156 0
150 205 188 0
235 -72 -282 0
-277 108 -161 0
294 154 -234 0
-138 -67 -179 0
-114 -6 258 0
13 -18 159 0
-19 -143 191 0
-101 145 81 0
163 41 -149 0
213 -134 186 0
-222 87 37 0
223 -3 -90 0
10 103 170 0
106 251 154 0
-202 219 121 0
-257 19 -176 0
269 -162 -203 0
186 -101 168 0
-107 28 -230 0
285 178 -159 0
-160 31 61 0
85 -29 -159 0
3 272 196 0
155 81 -144 0
-48 68 -75 0
-151 168 23 0
119 296 187 0
50 -295 100 0
44 -78 105 0
62 130 -35 0
-136 -47 -268 0
-281 151 65 0
237 -20 118 0
-156 80 133 0
-110 -246 -257 0
38 -297 66 0
-160 -256 -279 0
-3 -73 192 0
-121 -139 208 0
241 -120 -189 0
165 -267 45 0
-27 -296 300 0
227 -260 64 0
282 -202 118 0
12 -37 90 0
243 -178 139 0
243 -267 -81 0
-25 -146 -251 0
-111 168 189 0
67 -95 -9 0
171 -271 -166 0
184 49 87 0
174 79 233 0
-239 -206 4 0
-62 184 117 0
-144 279 -156 0
-161 15 264 0
-269 -254 264 0
11 274 -144 0
13 140 -89 0
-45 160 56 0
188 -263 -192 0
-101 -208 281 0
14 83 -66 0
251 77 266 0
-263 261 -1 0
-187 73 235 0
-54 -137 39 0
-155 127 95 0
197 122 -105 0
292 -157 -80 0
-44 -97 192 0
112 235 -52 0
-295 -288 -271 0
221 209 -55 0
232 235 -90 0
30 -189 -96 0
-267 145 -260 0
-235 206 228 0
262 -159 -56 0
-37 260 183 0
-52 -5 -11 0
-50 31 -11 0
128 267 18 0
236 -61 -66 0
-118 279 -172 0
-290 162 -139 0
74 176 -267 0
3 64 238 0
189 -174 -52 0
134 -107 195 0
7 205 -20 0
-177 -189 160 0
287 127 -9 0
231 221 11 0
-78 -112 56 0
42 -241 -278 0
-259 19 -158 0
-110 -72 -252 0
187 -294 137 0
19 225 -78 0
77 -150 9 0
-286 -298 245 0
-160 131 247 0
-46 -184 -57 0
-255 -66 6 0
181 243 154 0
93 6 232 0
289 -88 -179 0
-28 135 -248 0
54 79 -176 0
