p cnf 110 440
-47 8 33 0
97 -11 47 0
54 62 84 0
80 -98 26 0
-31 14 -60 0
-110 -77 92 0
101 -46 51 0
-99 -76 -108 0
39 66 -70 0
59 -72 -50 0
-47 -48 1 0
-18 24 -103 0
91 -55 -26 0
110 -59 35 0
57 72 4 0
100 -30 8 0
14 83 17 0
58 102 -110 0
36 -93 -40 0
107 57 -89 0
-10 -41 -88 0
2 5 -63 0
-101 81 -98 0
74 -95 2 0
73 90 8 0
102 2 71 0
2 18 70 0
77 -78 -92 0
110 8 -32 0
48 -67 45 0
100 -97 89 0
36 -105 66 0
-50 -98 5 0
55 -108 -72 0
2 22 78 0
-7 8 99 0
-23 -7 77 0
-13 -77 -6 0
52 -16 53 0
9 -28 54 0
70 -103 94 0
104 -5 -23 0
3 70 8 0
23 66 82 0
-99 -103 -52 0
52 -106 -62 0
-67 -27 55 0
57 -16 -106 0
-65 19 110 0
-23 18 5 0
-64 -102 -9 0
38 -39 -93 0
-28 -8 13 0
-38 74 -85 0
13 -25 -10 0
68 86 44 0
3 22 94 0
-102 17 -27 0
-87 -12 -51 0
96 26 -25 0
39 -56 -15 0
-84 36 -11 0
90 30 22 0
39 44 -68 0
-5 -55 -86 0
94 60 -38 0
-95 100 -41 0
-33 -79 -82 0
-26 -48 3 0
31 109 104 0
-106 -83 101 0
-102 37 77 0
1 -75 -41 0
-19 -43 26 0
-49 -20 -67 0
103 -49 8 0
12 69 -19 0
30 104 -54 0
-99 -57 -22 0
-27 87 -68 0
54 -61 12 0
-67 50 56 0
-101 -60 -53 0
101 -6 89 0
-102 30 -92 0
52 20 -69 0
2 95 49 0
-93 99 -38 0
-19 -57 -48 0
93 39 -90 0
-14 -54 75 0
105 -79 101 0
-61 30 98 0
-22 -69 -4 0
2 -61 -14 0
101 4 102 0
-31 -18 7 0
-58 64 -47 0
19 31 78 0
-67 -103 -93 0
-100 -33 102 0
-44 -51 62 0
42 -55 29 0
-62 102 -107 0
57 -54 13 0
97 -52 36 0
16 106 -4 0
55 108 56 0
-32 46 30 0
66 -38 108 0
-87 -25 -86 0
-44 2 99 0
28 24 83 0
25 17 -1 0
-44 -105 49 0
-104 60 -95 0
9 -26 109 0
-57 -98 -24 0
-22 -48 -50 0
99 46 38 0
-17 51 -91 0
42 104 41 0
-12 -59 83 0
43 62 -6 0
28 26 -19 0
31 67 42 0
47 -10 14 0
-74 -11 108 0
-79 -20 -104 0
5 61 -68 0
-66 88 -1 0
-1 -77 -88 0
-101 47 -87 0
15 -88 93 0
-23 -37 -45 0
-49 67 -76 0
-2 94 100 0
-44 -94 61 0
-87 102 -93 0
-39 61 72 0
-96 -70 54 0
70 47 -40 0
-101 50 -33 0
-18 6 4 0
92 -9 91 0
38 -22 18 0
74 -104 -5 0
88 89 52 0
110 61 77 0
-77 79 -33 0
98 -109 40 0
-16 77 55 0
41 -7 32 0
3 17 77 0
-100 -16 -103 0
-33 -23 30 0
-88 39 95 0
67 98 -17 0
64 49 -13 0
79 -74 -86 0
-5 -19 80 0
63 25 43 0
-15 -8 -5 0
62 -85 -53 0
-98 -73 -47 0
-101 -97 -10 0
-100 -13 -104 0
107 -96 93 0
-71 -99 17 0
-6 105 40 0
58 -24 81 0
-110 -37 -100 0
41 -54 -74 0
58 -12 -53 0
61 -7 68 0
-28 -49 102 0
-16 63 87 0
-57 12 -84 0
78 93 -9 0
92 24 -98 0
-7 39 107 0
-6 62 81 0
-94 96 68 0
-12 -32 -99 0
-70 -15 41 0
-6 58 -101 0
-73 82 39 0
-104 -10 -101 0
-23 -45 -79 0
110 -86 -62 0
-15 -62 -43 0
-99 -22 72 0
-12 56 -18 0
-31 -89 68 0
81 26 -12 0
3 -86 -29 0
47 66 19 0
60 65 94 0
92 -96 -20 0
58 -93 19 0
-34 61 16 0
1 -80 -62 0
-24 -18 100 0
77 -56 -83 0
89 38 87 0
-39 -8 61 0
52 17 59 0
-50 -63 -76 0
42 -108 -36 0
-36 -84 -100 0
61 -2 101 0
-23 -97 36 0
49 32 84 0
-27 -81 -45 0
-78 -103 85 0
43 -94 36 0
-38 -99 -29 0
-42 109 -51 0
-3 -29 75 0
21 -85 25 0
37 26 1 0
36 93 78 0
48 -61 -15 0
102 94 -99 0
67 74 64 0
-31 -55 52 0
91 -109 86 0
57 18 43 0
-92 -90 27 0
-107 61 65 0
-58 -87 -84 0
73 -90 69 0
79 19 -106 0
101 26 -25 0
22 -77 -92 0
-27 59 15 0
-73 69 -89 0
