p cnf 300 1200
271 -85 -261 0
-137 298 86 0
83 -218 -60 0
18 -283 -155 0
233 219 107 0
-178 246 -87 0
259 223 124 0
218 -172 -258 0
-1 60 -18 0
-225 151 -211 0
289 63 -45 0
15 34 207 0
-25 75 -225 0
-239 105 170 0
15 -42 147 0
286 113 -53 0
56 -160 -2 0
87 -88 300 0
-13 -55 208 0
57 10 -32 0
-187 108 191 0
257 -197 49 0
162 172 -137 0
-30 -211 -70 0
-91 204 -159 0
175 -161 75 0
-147 46 294 0
91 -153 291 0
-52 125 -250 0
229 -3 -201 0
-29 -176 -165 0
-61 -196 115 0
15 -158 -263 0
265 138 -90 0
-189 250 176 0
25 -152 63 0
-36 -128 161 0
-10 -96 117 0
-246 80 -187 0
-61 164 -213 0
148 -233 30 0
-189 -299 -59 0
13 130 154 0
44 199 75 0
217 -16 -49 0
29 -9 -24 0
211 -91 -229 0
206 115 256 0
175 12 -168 0
196 126 -92 0
287 -152 -263 0
193 224 142 0
277 173 -237 0
67 4 -96 0
-225 -13 78 0
-215 -239 -137 0
-127 180 80 0
-11 208 -212 0
228 114 108 0
-35 148 139 0
-238 157 36 0
-6 -161 18 0
-57 171 -211 0
110 -176 236 0
84 52 263 0
146 -49 205 0
84 -190 -230 0
179 28 -83 0
-85 130 -21 0
67 -155 -220 0
179 226 -233 0
153 -263 -228 0
218 93 -235 0
82 -12 99 0
-181 -201 -149 0
-69 -162 256 0
-95 -122 -63 0
-163 -219 -141 0
-123 156 120 0
173 70 -279 0
-288 -174 -14 0
213 -37 152 0
-232 -14 90 0
-90 -53 -275 0
33 -94 -222 0
-59 300 228 0
-120 -275 129 0
-285 1 252 0
-261 8 69 0
-33 -63 -66 0
-129 41 241 0
-257 174 121 0
-71 19 -243 0
-84 -14 -92 0
-23 256 -184 0
241 194 149 0
-191 -109 247 0
292 233 281 0
216 177 123 0
-159 225 -200 0
251 -1 -53 0
-152 158 -281 0
276 45 -248 0
64 -279 -229 0
165 -257 156 0
71 69 -237 0
97 -40 -131 0
-231 -127 186 0
-123 133 142 0
-176 278 250 0
66 -243 -217 0
-182 113 -67 0
125 -250 -59 0
-268 57 -88 0
-155 148 53 0
-117 265 -198 0
46 159 171 0
168 207 -63 0
177 186 -105 0
295 255 107 0
285 -280 248 0
59 150 97 0
-126 -180 -104 0
-58 -12 211 0
78 54 188 0
-69 -19 283 0
70 235 187 0
44 -223 41 0
-166 104 -199 0
-255 -66 -69 0
249 -105 -211 0
-146 -45 -91 0
22 158 282 0
235 72 -140 0
-238 56 101 0
-202 158 -271 0
-37 -40 176 0
-131 -236 -40 0
134 252 135 0
63 158 88 0
72 170 -4 0
135 -206 -110 0
61 -105 257 0
-145 -27 153 0
32 -102 166 0
122 -288 269 0
-45 128 146 0
-254 184 193 0
174 296 -150 0
-2 72 -270 0
-273 -12 218 0
-214 159 -286 0
-180 -155 200 0
-172 176 155 0
-33 -136 34 0
68 77 -92 0
-125 39 11 0
161 -75 -24 0
-66 -264 -176 0
235 200 -125 0
-155 -166 124 0
-236 -19 -208 0
209 -124 -153 0
-160 -150 -270 0
5 -73 -240 0
-190 -53 -31 0
-20 -136 -110 0
74 -33 223 0
112 267 22 0
102 189 25 0
-162 168 75 0
171 193 -30 0
148 269 -275 0
-73 230 -120 0
-108 192 -229 0
73 137 -140 0
-113 246 177 0
83 164 -296 0
-11 -85 -57 0
-289 -183 -271 0
-54 123 50 0
-205 -293 -152 0
-147 -101 -252 0
145 235 171 0
-276 100 -88 0
-71 -111 -69 0
-296 27 -219 0
-292 2 69 0
248 290 26 0
-16 252 235 0
32 -261 -134 0
-32 103 -28 0
-272 110 207 0
-224 31 -45 0
-230 94 -115 0
105 298 182 0
17 -69 -59 0
-136 40 151 0
-200 172 -72 0
270 182 1 0
-234 269 91 0
-119 8 222 0
-138 -37 -23 0
-261 204 145 0
-209 84 56 0
-18 -23 96 0
217 -140 -252 0
285 -238 -277 0
224 38 213 0
258 218 166 0
-188 -50 297 0
-126 72 117 0
-220 -62 194 0
-191 -74 -100 0
-117 -246 -9 0
-262 51 -59 0
20 -272 4 0
-10 60 69 0
64 -221 8 0
-149 181 195 0
134 205 -120 0
-161 143 -53 0
-176 39 146 0
66 -173 61 0
-66 -63 165 0
70 115 35 0
-86 78 -157 0
27 276 298 0
-196 233 197 0
-104 113 -278 0
-243 -259 -73 0
273 81 299 0
-299 71 -53 0
11 242 -243 0
275 232 -290 0
-76 -23 111 0
257 29 105 0
-68 -271 116 0
255 -77 252 0
-168 -49 266 0
1 -11 99 0
-100 -4 286 0
266 -127 -291 0
85 -286 57 0
125 -241 128 0
-18 -256 16 0
-166 188 129 0
-52 16 -271 0
22 170 -79 0
156 -42 266 0
