p cnf 150 600
5 133 138 0
-43 42 121 0
-108 -5 -137 0
45 -26 113 0
17 -126 -88 0
4 90 -126 0
83 -96 81 0
-84 61 -108 0
5 -10 -147 0
91 -10 -146 0
-39 81 -148 0
23 39 87 0
80 95 -44 0
132 -110 -37 0
-81 -72 -73 0
6 136 41 0
-37 -104 4 0
-77 -23 22 0
13 -93 128 0
-115 -1 -96 0
94 -80 114 0
-145 65 -128 0
-58 -115 -91 0
115 124 -21 0
80 -27 17 0
-8 51 -128 0
138 -139 95 0
83 -24 -91 0
26 -29 -150 0
97 148 32 0
25 -119 50 0
120 -60 19 0
139 92 -144 0
20 -24 -3 0
74 42 112 0
94 -107 -52 0
137 -64 -145 0
135 131 113 0
-123 -128 84 0
96 -139 7 0
-71 135 -75 0
-115 143 13 0
97 120 5 0
-126 -5 50 0
1 120 113 0
-24 -66 -83 0
-54 139 -15 0
46 -74 -82 0
34 -144 -117 0
-115 89 -53 0
-18 123 -15 0
23 146 -85 0
-71 -125 79 0
-96 -89 -63 0
64 -123 -84 0
-144 -19 129 0
126 -48 146 0
-52 -4 43 0
-30 -61 43 0
-135 123 80 0
-26 125 -104 0
-49 126 83 0
94 31 38 0
-28 66 119 0
-119 148 10 0
-80 -147 69 0
-2 60 -126 0
9 -115 50 0
-35 -2 23 0
90 -59 -80 0
-7 114 99 0
23 75 -12 0
45 -120 81 0
48 42 126 0
-22 14 -117 0
-85 -10 1 0
30 -72 -51 0
122 75 42 0
-140 76 125 0
63 -29 -43 0
-76 36 17 0
-47 9 149 0
-70 -90 66 0
-53 79 56 0
-50 -13 37 0
2 135 44 0
99 126 -132 0
109 34 121 0
-120 116 74 0
-7 -63 -20 0
92 139 71 0
-146 84 -125 0
-99 -135 20 0
87 -21 67 0
29 123 97 0
-106 88 -123 0
19 -50 79 0
-140 -122 108 0
-21 10 95 0
150 -22 -111 0
5 -41 81 0
126 150 29 0
-99 22 148 0
-53 128 -52 0
-66 -81 112 0
147 150 78 0
16 -40 -21 0
63 119 -57 0
51 -106 -3 0
-86 93 -89 0
-40 106 82 0
120 -56 16 0
-126 -28 -76 0
38 125 -129 0
95 71 -145 0
-30 109 137 0
-55 -145 -135 0
-75 -92 97 0
102 67 134 0
-17 -26 -114 0
76 4 -120 0
-111 137 -90 0
6 -112 -11 0
51 -143 3 0
39 74 138 0
-66 -31 -133 0
70 125 92 0
93 -72 -8 0
-95 99 135 0
46 14 -109 0
-30 138 -119 0
54 -68 114 0
-74 -99 -13 0
-13 17 -5 0
-33 -79 -64 0
-17 110 61 0
-79 -122 65 0
-148 42 53 0
-113 120 -69 0
-105 21 68 0
-62 -40 1 0
70 -19 -47 0
16 58 77 0
-96 -68 -41 0
18 60 -110 0
-76 -117 131 0
128 140 51 0
114 -70 -50 0
55 89 49 0
102 36 -2 0
24 -19 -118 0
-138 128 -31 0
-50 -143 30 0
20 -28 -32 0
-25 98 121 0
-84 -39 -14 0
-97 55 86 0
-14 -77 -113 0
-107 64 13 0
-117 -29 -95 0
36 58 48 0
11 -132 -23 0
133 -139 -24 0
-10 101 123 0
118 36 -139 0
-8 82 42 0
-57 -105 128 0
-36 -75 -131 0
-115 120 45 0
-59 -31 40 0
-146 18 -96 0
-11 -149 122 0
-136 -143 11 0
-72 11 54 0
132 -89 28 0
-54 -7 -131 0
104 98 92 0
-16 -63 21 0
101 -118 -46 0
-59 -18 66 0
81 87 116 0
-84 -23 -39 0
74 63 44 0
81 -26 99 0
-47 -48 3 0
-115 114 103 0
-3 -16 82 0
-99 41 26 0
46 -113 33 0
-24 147 20 0
75 77 10 0
-39 -66 -69 0
-2 -51 -71 0
59 -99 -89 0
49 150 -3 0
-150 98 128 0
108 -119 -58 0
107 -148 118 0
7 139 -90 0
28 24 -47 0
88 14 -68 0
52 -101 -89 0
60 -104 127 0
-116 -23 -97 0
5 47 99 0
-94 88 1 0
-43 33 -115 0
-85 -101 131 0
128 -18 -2 0
79 -31 -109 0
67 49 -22 0
70 -115 116 0
-86 -60 78 0
144 -3 18 0
-23 -22 83 0
11 64 -61 0
-134 -56 112 0
125 64 -146 0
-97 -109 -118 0
82 148 131 0
63 28 -71 0
-77 15 70 0
-98 148 58 0
44 -100 102 0
-60 108 -63 0
98 35 -1 0
85 107 146 0
78 -44 -61 0
92 125 -121 0
-22 -110 119 0
-136 -100 90 0
31 -94 -112 0
103 -72 -1 0
-85 -44 118 0
-17 -61 -26 0
123 142 -73 0
55 138 63 0
121 -139 56 0
67 -136 132 0
-24 -144 -101 0
7 -92 -101 0
-4 -134 31 0
89 128 39 0
79 -21 -30 0
-47 22 -98 0
-74 104 78 0
-91 -38 59 0
-105 23 -48 0
-80 24 -27 0
41 -110 -3 0
-28 -37 -88 0
-33 -7 115 0
-96 -13 11 0
132 36 61 0
68 -148 31 0
-149 -135 -122 0
1 -96 -98 0
3 -119 -126 0
100 13 34 0
-111 117 -104 0
-136 -24 101 0
-64 -97 15 0
8 -1 -124 0
-50 76 -115 0
10 -32 -85 0
-92 23 -117 0
148 28 112 0
131 142 41 0
144 -10 75 0
57 22 -117 0
114 -54 -43 0
30 -125 -90 0
65 143 111 0
-115 -67 -33 0
-95 62 49 0
42 -9 -114 0
-50 -14 -24 0
82 115 134 0
-5 -105 75 0
115 -127 -79 0
-5 114 37 0
-134 22 -28 0
18 -3 -66 0
-58 -124 -99 0
45 -30 86 0
-67 -95 150 0
-34 -147 59 0
62 -150 83 0
84 85 -8 0
117 89 -107 0
-20 -36 128 0
114 -67 36 0
69 -122 -36 0
9 94 -133 0
-25 84 -117 0
5 98 16 0
-138 102 -115 0
-41 139 51 0
-45 10 -59 0
98 -27 77 0
-127 90 8 0
-145 -125 113 0
30 -48 -101 0
-58 -125 113 0
53 134 -115 0
136 -79 102 0
85 -144 103 0
35 -76 -93 0
38 -93 25 0
-146 22 -18 0
52 18 140 0
139 -49 -115 0
112 -124 82 0
142 75 -131 0
-107 -12 126 0
-62 -35 66 0
31 74 -32 0
70 -29 83 0
-40 136 18 0
-17 108 -16 0
43 -19 -13 0
121 -133 -145 0
22 37 -98 0
110 29 -121 0
-33 25 12 0
-101 -53 116 0
-62 -144 -129 0
