p cnf 20 80
-8 -9 11 0
-6 -18 5 0
-6 4 -12 0
-15 -4 -2 0
-13 -3 14 0
-5 14 2 0
3 -18 -13 0
7 14 -13 0
-13 -8 2 0
-16 1 3 0
5 -4 6 0
-14 -15 -13 0
-15 3 5 0
-19 18 -17 0
-11 -13 -19 0
8 -19 10 0
-1 12 4 0
8 -6 5 0
-3 17 5 0
16 14 -13 0
-19 -9 15 0
11 -3 14 0
-6 -14 3 0
19 14 17 0
-18 7 13 0
6 9 -18 0
-10 -3 11 0
8 18 -10 0
5 -18 -6 0
-13 -16 -11 0
-11 -6 8 0
19 -5 15 0
13 -3 -7 0
15 -11 2 0
1 -12 -17 0
-12 -9 2 0
-11 -15 -14 0
-8 1 -19 0
-14 15 7 0
-15 -11 -1 0
-4 -15 19 0
19 -3 8 0
-18 -17 20 0
2 8 -19 0
1 20 -12 0
4 17 -16 0
-12 -13 -4 0
-9 18 -11 0
-7 -19 -5 0
-3 -6 -11 0
7 6 -14 0
11 2 -7 0
-14 -4 -3 0
17 -10 -16 0
17 -20 -16 0
8 1 9 0
-1 19 18 0
-15 4 3 0
-18 17 -13 0
-5 20 -13 0
-12 10 20 0
-3 15 20 0
-15 7 8 0
10 -9 -18 0
-18 3 5 0
17 -15 -16 0
8 15 -9 0
-7 -11 4 0
19 -4 7 0
10 -7 19 0
-5 4 6 0
-12 17 -4 0
2 19 4 0
-17 -3 14 0
-16 10 -3 0
-13 10 15 0
-20 -10 -18 0
3 -1 10 0
-20 -17 3 0
-13 14 -4 0
