p cnf 200 800
-141 -151 161 0
149 -80 -28 0
114 167 -169 0
-102 67 91 0
-198 58 156 0
-157 -91 108 0
180 -159 -183 0
-25 -75 120 0
73 157 -45 0
-139 -80 -35 0
-63 53 -8 0
170 -114 -27 0
-127 140 -48 0
153 79 138 0
200 -62 40 0
192 -3 -194 0
-193 141 187 0
-61 -79 195 0
36 -116 186 0
-80 159 69 0
-77 80 -69 0
62 51 196 0
-13 -188 -71 0
-166 122 73 0
164 61 184 0
3 59 24 0
149 -72 -168 0
144 -125 164 0
-140 14 -18 0
-57 26 62 0
26 -4 -83 0
-151 -156 -47 0
-139 135 59 0
-180 -40 198 0
66 -86 -30 0
199 -26 171 0
18 -13 145 0
-83 -67 99 0
43 -47 196 0
115 -76 -198 0
169 -166 -61 0
-147 -52 128 0
7 117 -180 0
29 151 40 0
-123 -7 56 0
-36 -6 37 0
-15 155 -117 0
123 114 -169 0
98 -152 -125 0
-77 -49 30 0
132 -130 50 0
120 13 -139 0
88 109 -157 0
180 -108 -34 0
-8 120 -168 0
119 53 106 0
164 -61 194 0
13 84 -57 0
73 -102 -31 0
-28 84 87 0
133 -198 -21 0
14 43 187 0
-10 124 122 0
-104 120 -173 0
154 -68 -46 0
65 199 -174 0
111 -10 -115 0
61 -96 4 0
64 -166 129 0
-187 -197 -168 0
173 40 -160 0
-119 -47 53 0
133 60 14 0
99 198 -128 0
-136 189 -104 0
160 172 -83 0
69 110 -56 0
-172 -19 20 0
-81 123 21 0
136 37 -92 0
-143 78 8 0
-99 12 -63 0
78 -113 94 0
98 102 120 0
-164 -93 -15 0
38 -144 134 0
7 -23 142 0
-127 51 105 0
-166 146 -90 0
106 -118 -54 0
-196 80 -126 0
38 -60 -9 0
-93 49 117 0
-113 -9 -28 0
-115 -7 82 0
21 168 -158 0
45 -122 88 0
95 63 -187 0
-2 88 -200 0
-127 107 -6 0
122 67 -88 0
60 -85 -57 0
29 -51 -127 0
-66 175 -76 0
-48 -165 54 0
41 84 103 0
196 165 38 0
186 -67 77 0
-8 -12 200 0
11 -96 162 0
24 -185 -43 0
26 100 -197 0
9 -61 -28 0
170 -195 -45 0
-75 54 -32 0
63 67 182 0
93 10 -110 0
103 171 175 0
-48 154 18 0
-118 -73 -77 0
-2 138 -76 0
-75 163 -121 0
-143 157 97 0
-37 -48 -148 0
-19 -116 187 0
-101 119 -56 0
70 164 -137 0
106 -196 -41 0
159 89 85 0
199 166 -66 0
199 197 176 0
-41 -100 39 0
61 -197 160 0
-128 -28 -76 0
-172 -66 11 0
161 -103 199 0
86 139 121 0
139 -94 100 0
85 11 -34 0
-177 -148 -23 0
41 93 -187 0
-49 -115 -14 0
173 53 -113 0
-85 115 27 0
-120 -13 112 0
-138 -54 -149 0
111 71 -109 0
-174 158 149 0
126 -15 -39 0
-9 -38 -104 0
-23 -161 194 0
37 -171 -6 0
-135 66 91 0
153 177 166 0
-16 153 102 0
21 -186 -68 0
57 183 128 0
-117 105 -148 0
199 93 -7 0
96 -132 139 0
-74 157 -124 0
71 -32 79 0
101 -122 -173 0
-2 82 -111 0
100 -7 -174 0
106 112 -19 0
149 116 -63 0
109 24 -199 0
168 -98 54 0
-75 145 178 0
-181 13 189 0
126 155 182 0
58 114 -77 0
38 168 -164 0
-69 -125 190 0
20 161 -122 0
51 -77 82 0
68 129 -22 0
-82 13 20 0
-42 -191 -169 0
20 -120 191 0
107 -77 -65 0
95 -121 -173 0
168 -65 -104 0
38 -163 77 0
-32 -5 181 0
63 -32 -97 0
192 -155 96 0
-198 -153 73 0
63 18 23 0
29 56 -136 0
-13 -32 174 0
189 182 103 0
26 62 -182 0
58 71 -159 0
-189 -40 -41 0
168 -155 189 0
24 18 -38 0
57 -134 87 0
-80 187 77 0
147 184 -95 0
-51 42 81 0
163 -55 158 0
62 75 -79 0
-118 51 -193 0
-12 -158 113 0
-11 116 1 0
35 24 173 0
-154 -200 147 0
-128 -13 -88 0
198 159 64 0
-15 -19 -156 0
-105 -140 169 0
171 -136 93 0
-92 -153 108 0
81 -194 59 0
-110 -50 70 0
144 -143 164 0
184 -146 31 0
102 114 88 0
-72 -100 -3 0
-2 57 85 0
-9 4 -175 0
54 -88 -180 0
-112 126 82 0
-26 100 164 0
-42 -76 78 0
-122 99 105 0
120 15 -31 0
105 -46 -128 0
10 -165 -67 0
113 26 -52 0
9 -30 149 0
118 -77 -116 0
33 -42 -129 0
-59 165 -135 0
-14 83 190 0
145 102 -146 0
89 97 -191 0
159 51 104 0
4 129 60 0
-167 37 -49 0
-10 82 125 0
119 16 52 0
-163 122 74 0
-159 -156 -61 0
191 -72 104 0
-59 145 103 0
-5 -45 -96 0
-3 -125 72 0
156 19 166 0
-198 82 19 0
183 25 -28 0
61 168 10 0
-49 -12 -58 0
18 -156 -83 0
194 199 180 0
-23 95 -134 0
-33 186 -192 0
-129 -119 -134 0
178 143 -56 0
-174 -44 -52 0
-69 170 -2 0
-122 192 132 0
187 -92 -171 0
6 -25 -148 0
71 107 167 0
-116 12 33 0
162 55 -187 0
-186 113 68 0
182 -187 -123 0
-196 -129 40 0
-147 136 -21 0
153 -28 -103 0
-22 -26 -46 0
150 118 143 0
-90 45 -114 0
180 22 154 0
-127 80 126 0
160 -96 180 0
-42 -6 120 0
108 118 -61 0
187 -167 -64 0
-176 -17 -110 0
76 -35 -28 0
145 -118 45 0
83 -138 -178 0
150 -59 -3 0
63 -134 75 0
101 174 74 0
-78 -105 2 0
75 -199 42 0
-146 9 3 0
149 46 120 0
-89 -5 188 0
-52 -179 -1 0
-187 68 -91 0
53 106 -75 0
-44 192 101 0
-23 123 152 0
35 -108 -136 0
87 116 -199 0
-74 -111 -18 0
-127 40 186 0
62 -88 -58 0
63 -35 14 0
-136 -134 194 0
184 -169 -93 0
-43 -147 18 0
60 -170 -33 0
174 -96 186 0
190 -84 -49 0
170 -13 -76 0
-1 70 67 0
-50 46 193 0
145 186 158 0
53 -42 97 0
190 -139 21 0
-180 -125 159 0
-82 173 -17 0
140 74 -64 0
-170 -85 -58 0
-83 82 28 0
23 3 -72 0
-180 128 -190 0
-87 -121 182 0
-192 59 -177 0
29 -161 -176 0
-182 -163 142 0
129 -172 -57 0
157 -154 81 0
110 -139 13 0
-131 59 54 0
-61 -63 62 0
6 -103 180 0
-112 94 -115 0
114 -139 65 0
28 -7 -137 0
6 193 189 0
-37 138 -109 0
-119 14 8 0
96 -190 184 0
99 157 -78 0
-148 -197 -162 0
149 12 187 0
-170 6 91 0
-4 -23 22 0
103 -29 -44 0
-11 -77 -82 0
61 31 -184 0
146 171 -183 0
62 -134 -25 0
-64 -119 -121 0
-7 -182 189 0
-65 -56 112 0
151 192 -16 0
18 155 -196 0
139 19 160 0
-73 -134 102 0
14 181 -3 0
186 -176 -18 0
-133 107 12 0
198 85 141 0
-63 81 108 0
-94 3 -17 0
58 54 -146 0
40 93 6 0
-95 70 138 0
112 -74 39 0
171 17 1 0
140 111 -135 0
-21 158 -182 0
8 83 -88 0
-163 62 176 0
18 17 150 0
-21 44 -3 0
-84 194 192 0
-96 32 182 0
-127 82 -144 0
25 52 -168 0
-73 195 80 0
-169 -170 -194 0
172 127 194 0
119 45 -56 0
-58 133 188 0
186 -32 -76 0
-95 -49 144 0
-65 181 -145 0
-64 -53 199 0
67 -174 31 0
-117 -189 -27 0
-174 -125 -112 0
63 144 26 0
-128 76 -23 0
-117 -25 -133 0
-13 56 166 0
