p cnf 30 120
-13 -23 -18 0
-27 -24 -14 0
18 11 -17 0
-28 19 -11 0
3 -14 -29 0
-15 -4 -29 0
12 13 -27 0
15 11 6 0
-29 -30 -15 0
-19 30 13 0
-17 19 -7 0
-18 -6 26 0
-28 1 -3 0
-20 13 -10 0
-16 -14 15 0
8 -7 16 0
-4 29 -12 0
-19 -13 -2 0
25 -12 20 0
22 21 14 0
-11 -10 -5 0
24 18 5 0
21 6 -17 0
9 4 -22 0
29 27 19 0
-26 -15 -20 0
23 -16 -3 0
18 14 23 0
7 -19 14 0
-26 -4 -7 0
-27 -7 -25 0
8 27 -3 0
29 8 -27 0
-3 -13 -17 0
7 -1 -30 0
11 22 25 0
10 -25 22 0
14 -28 -7 0
-9 -29 3 0
28 27 -10 0
-26 -18 -12 0
-27 -17 -18 0
-30 -12 13 0
28 10 -21 0
-7 -21 -18 0
-11 -16 -3 0
-11 28 1 0
-6 -17 26 0
-15 24 -21 0
-9 -14 -15 0
-7 17 -21 0
16 29 -18 0
30 -12 -7 0
-29 -18 -11 0
-21 -9 14 0
-2 -10 -21 0
-26 -17 -18 0
15 2 -4 0
-20 13 -21 0
13 24 -10 0
1 8 -15 0
29 -10 8 0
-20 15 -30 0
28 6 4 0
-12 -10 -1 0
-2 28 3 0
-1 -14 20 0
25 -8 13 0
18 -16 -14 0
27 -18 17 0
-4 -3 1 0
1 3 -4 0
-22 -2 17 0
-27 28 6 0
14 -2 -15 0
18 12 1 0
-4 -28 21 0
-3 2 25 0
9 30 -25 0
-18 9 20 0
29 -2 5 0
20 26 -7 0
-21 -9 -2 0
25 12 5 0
-13 19 2 0
-20 7 4 0
-19 -9 21 0
7 15 11 0
-30 22 20 0
20 -21 23 0
10 -20 -6 0
-16 -21 -19 0
25 -18 -12 0
-20 -27 15 0
15 -20 9 0
30 -10 9 0
-27 -25 -12 0
-4 -18 6 0
19 -25 -30 0
-1 3 -21 0
14 -27 -5 0
-4 9 -18 0
-3 18 8 0
3 -22 26 0
-20 25 3 0
-27 -7 -19 0
25 30 23 0
16 4 -22 0
29 27 -14 0
18 -3 20 0
-26 -13 -21 0
8 -29 3 0
3 -15 -11 0
10 3 6 0
-12 -29 -30 0
-5 29 -23 0
-23 11 5 0
-25 13 12 0
-24 12 9 0
-4 19 -27 0
