p cnf 120 480
36 -60 73 0
-66 -63 -43 0
-28 5 76 0
-62 31 -99 0
-14 117 -108 0
100 -27 -4 0
1 108 48 0
-8 -47 116 0
-56 73 -100 0
99 113 -101 0
34 -100 -111 0
31 35 -38 0
32 22 -49 0
71 -66 54 0
58 -14 -119 0
-14 73 84 0
-79 -38 -4 0
60 104 32 0
46 -26 61 0
118 -76 91 0
45 13 78 0
-100 -90 67 0
-16 19 -68 0
64 50 -37 0
-24 -73 57 0
31 29 113 0
95 -42 -40 0
-99 72 -30 0
32 -115 47 0
-62 -49 -32 0
33 -69 88 0
-31 -25 -117 0
51 -119 -77 0
12 -98 60 0
-22 77 -110 0
-39 -33 75 0
-48 54 49 0
-9 17 93 0
11 -72 -86 0
115 71 105 0
-71 -74 64 0
-97 119 81 0
-41 65 23 0
42 101 84 0
16 90 -95 0
-120 63 93 0
18 39 -109 0
56 49 -60 0
-28 62 -113 0
103 -71 -86 0
9 81 29 0
-69 2 46 0
105 3 -100 0
-97 -34 -119 0
46 26 36 0
33 -67 -107 0
-39 6 -42 0
14 -24 51 0
70 114 -48 0
114 -77 90 0
2 -28 -107 0
-35 69 -57 0
-75 -119 -78 0
-92 -60 -115 0
-70 -81 -118 0
-10 35 -59 0
-35 46 109 0
-76 44 40 0
116 20 88 0
-34 113 -63 0
35 -101 -93 0
83 -116 -94 0
-102 -46 116 0
17 79 37 0
42 83 56 0
17 73 24 0
36 -31 10 0
-78 51 -46 0
103 -85 64 0
44 -86 -70 0
-94 -46 47 0
118 -110 -8 0
25 -49 43 0
-65 1 27 0
24 70 20 0
74 -34 -68 0
-66 103 76 0
46 -60 -30 0
-60 -119 -114 0
116 87 -117 0
68 92 -54 0
53 95 -45 0
-10 -5 56 0
-50 119 -54 0
-57 -113 99 0
1 -43 -11 0
-2 -86 -83 0
1 -92 40 0
22 21 -1 0
116 100 -71 0
-88 -115 35 0
-98 53 -108 0
58 106 105 0
48 89 -10 0
118 17 96 0
-46 -31 66 0
30 77 -90 0
96 53 40 0
81 19 10 0
2 -17 -88 0
89 -48 38 0
48 11 -20 0
60 111 -51 0
-5 92 51 0
-43 -101 -62 0
-44 -73 13 0
-59 -40 47 0
41 37 -90 0
45 -89 109 0
-118 55 -82 0
-29 10 -71 0
-83 65 78 0
53 -81 -21 0
48 -16 82 0
-20 27 -40 0
-54 -97 41 0
68 -48 -110 0
98 -106 115 0
109 56 -43 0
112 -79 -111 0
-117 -49 90 0
-4 69 24 0
-39 -83 -60 0
-14 -104 35 0
-69 -71 35 0
8 -97 108 0
-2 87 -33 0
-119 111 79 0
-22 -81 25 0
-14 5 -112 0
-9 63 31 0
