p cnf 80 320
-38 21 -48 0
75 -41 -64 0
-43 24 -66 0
-41 -9 -13 0
36 51 -38 0
-79 20 46 0
22 -24 -11 0
-46 -54 75 0
-24 15 -2 0
21 61 78 0
-12 -28 47 0
49 -16 27 0
-46 -69 -26 0
-42 -74 13 0
-45 -65 -31 0
-47 14 -73 0
-30 -6 -60 0
-37 -63 -43 0
-5 -51 29 0
34 16 -60 0
36 25 56 0
38 28 11 0
26 48 -24 0
79 46 11 0
-64 -51 14 0
-29 8 49 0
21 -52 -33 0
-71 -60 -50 0
-80 -16 -49 0
-55 -53 46 0
-39 18 -79 0
-61 -56 -51 0
-45 1 -31 0
-11 -50 -18 0
18 8 -78 0
32 -75 -23 0
-10 -67 76 0
-37 59 -19 0
-55 -29 -43 0
-67 -30 -5 0
-2 3 -66 0
8 2 -19 0
-36 66 -50 0
-25 -67 -56 0
3 -72 51 0
76 -65 -80 0
-7 28 -64 0
-37 4 -16 0
9 29 -46 0
-40 -61 -16 0
60 34 -41 0
45 23 -38 0
69 9 -80 0
28 17 -20 0
-75 45 10 0
37 71 64 0
7 -29 -51 0
68 13 -14 0
-4 -52 23 0
76 -14 -43 0
-39 -16 79 0
67 59 -61 0
35 -41 65 0
50 -40 -59 0
70 -48 55 0
-28 57 -25 0
-74 -18 -59 0
-1 -41 -66 0
29 37 -53 0
72 -50 -33 0
54 20 27 0
-65 -45 73 0
40 -38 11 0
-80 22 10 0
-24 25 -51 0
-7 -39 53 0
48 60 -63 0
-9 29 -73 0
79 -76 25 0
76 -23 33 0
-40 25 -13 0
14 -49 24 0
60 -5 29 0
-47 53 -79 0
78 61 79 0
46 -52 -19 0
-2 -28 -8 0
32 66 75 0
-18 -72 -67 0
51 49 37 0
75 -20 -55 0
-46 -21 57 0
-27 -46 -28 0
57 66 -19 0
-22 36 -51 0
-20 57 27 0
28 -70 -16 0
-59 -38 37 0
17 14 -44 0
-5 -52 7 0
-16 50 49 0
-7 19 28 0
-26 59 63 0
32 43 64 0
28 -72 44 0
-20 -8 36 0
17 -5 22 0
-21 -70 14 0
-78 34 -73 0
78 -21 18 0
-51 75 -42 0
-66 -56 -44 0
6 -76 47 0
-31 -70 -35 0
65 34 5 0
-20 72 33 0
28 -42 72 0
-32 53 23 0
20 46 -21 0
24 17 41 0
12 -76 -58 0
-68 -29 -40 0
-19 48 50 0
74 27 62 0
23 51 46 0
12 55 32 0
-32 78 77 0
-63 17 20 0
30 66 54 0
-75 35 -8 0
29 -3 28 0
4 55 23 0
2 22 41 0
41 33 -43 0
10 49 -54 0
-24 -71 68 0
-45 60 56 0
-54 38 11 0
67 -21 -29 0
26 -51 -65 0
1 26 19 0
-25 68 -65 0
38 -36 32 0
-73 17 70 0
-27 35 -72 0
-54 -60 78 0
-76 -44 -58 0
-10 66 9 0
43 -19 78 0
-8 38 54 0
46 36 57 0
-6 7 68 0
-28 78 26 0
14 -24 -62 0
56 -77 16 0
-26 60 69 0
14 -41 74 0
-36 40 -66 0
24 36 14 0
-19 71 -34 0
-49 50 39 0
-49 15 57 0
-20 -12 29 0
76 -59 50 0
32 13 -68 0
-59 -56 -80 0
49 -3 8 0
54 66 -3 0
-65 -25 8 0
31 -61 -47 0
63 -66 -32 0
33 -57 44 0
51 -48 -52 0
72 37 16 0
21 50 -41 0
-38 45 -44 0
26 -14 -20 0
-16 27 30 0
-28 -38 -44 0
-5 -48 -71 0
33 51 60 0
-57 73 70 0
80 -35 -20 0
-55 69 -47 0
-17 79 24 0
-9 -50 36 0
24 65 -35 0
-60 -11 -31 0
-17 2 -27 0
-29 16 4 0
5 6 79 0
-38 2 29 0
-17 -18 -56 0
-75 -13 35 0
14 20 11 0
50 66 61 0
-25 -10 -55 0
-65 51 4 0
-34 1 -59 0
37 -50 -36 0
-30 59 12 0
14 -41 13 0
60 -69 -32 0
-39 54 15 0
-26 39 58 0
70 79 -38 0
-71 29 74 0
-29 23 19 0
-72 54 -80 0
-61 38 -35 0
14 -6 -24 0
38 -45 -76 0
-43 -27 24 0
22 53 -12 0
-63 12 44 0
-19 70 -4 0
50 10 11 0
4 12 -38 0
26 1 38 0
34 37 -25 0
-43 40 -51 0
28 -36 34 0
-73 -18 -51 0
70 50 27 0
35 -59 57 0
54 -78 3 0
-39 67 -19 0
23 -74 47 0
-79 40 -59 0
-7 30 35 0
-20 -9 36 0
-16 -26 -52 0
-6 -55 66 0
-75 10 -16 0
-4 -32 71 0
-22 -57 58 0
-74 37 58 0
-14 -2 46 0
74 -35 26 0
22 56 45 0
-38 -7 -48 0
-9 8 43 0
-5 1 -77 0
-24 -38 72 0
13 75 -65 0
66 -56 -51 0
-40 48 23 0
64 67 -15 0
-40 -3 -27 0
14 11 55 0
18 -8 -62 0
33 -63 14 0
47 43 -8 0
27 60 80 0
-77 76 78 0
-39 13 40 0
-61 -65 23 0
-19 22 2 0
-37 28 -9 0
-53 -24 -44 0
1 68 27 0
-13 22 -41 0
-26 73 62 0
-43 -2 3 0
15 -36 35 0
47 76 -21 0
-49 -72 73 0
-74 -44 -56 0
-40 19 13 0
5 12 -73 0
48 -67 3 0
-17 25 -49 0
-50 -67 -74 0
-59 -15 56 0
7 -31 -27 0
78 -47 -20 0
-8 -14 -79 0
-71 -80 67 0
53 36 47 0
5 76 3 0
-47 -23 -42 0
63 -17 -46 0
-20 77 -32 0
80 -56 -75 0
-55 46 33 0
40 -74 39 0
39 34 50 0
5 44 48 0
22 -54 49 0
-79 47 -48 0
46 15 43 0
26 73 56 0
-10 -14 12 0
63 12 -14 0
4 -35 -39 0
-48 -72 -75 0
-66 -35 -62 0
-51 53 -59 0
-29 33 -77 0
-52 -41 49 0
72 -66 -14 0
-49 63 9 0
76 19 -27 0
-48 70 -14 0
-29 -17 56 0
51 17 -62 0
-48 60 -65 0
-58 79 44 0
58 31 42 0
-17 -13 42 0
-34 -67 -32 0
-31 30 -60 0
30 -59 -50 0
-36 65 -57 0
-13 80 -10 0
29 37 44 0
-47 -18 -67 0
42 -18 -75 0
74 -45 -79 0
-35 -78 -53 0
