p cnf 150 600
34 -144 -113 0
-133 79 60 0
30 83 7 0
-33 -105 -17 0
-28 -64 148 0
-127 -16 37 0
15 -142 42 0
-100 -17 43 0
-80 -64 -83 0
52 -118 -138 0
3 61 -130 0
52 117 -143 0
-96 145 -63 0
-31 10 -121 0
-108 142 -2 0
93 -28 -41 0
8 -99 -114 0
13 127 40 0
134 8 -11 0
103 121 56 0
147 -33 103 0
-52 -74 -63 0
-69 77 9 0
56 32 140 0
-58 102 -78 0
53 58 111 0
-29 -98 69 0
86 -31 101 0
-81 13 70 0
2 -117 50 0
-119 -142 -24 0
148 -54 -57 0
-49 73 27 0
-2 74 60 0
-21 71 63 0
-55 -49 59 0
-92 47 120 0
70 35 13 0
130 93 141 0
-45 -14 55 0
-35 -56 113 0
-73 -85 57 0
113 126 -122 0
-57 -118 15 0
-148 84 83 0
68 -111 78 0
22 80 -34 0
115 -69 5 0
54 -45 142 0
-117 -46 -51 0
-104 -150 142 0
77 -38 -71 0
97 -140 -96 0
-79 106 -55 0
-81 87 -119 0
129 15 90 0
-110 -91 47 0
-22 -132 93 0
-59 -134 1 0
96 32 -81 0
-117 84 -8 0
147 -83 -71 0
-56 -2 -24 0
-9 -114 106 0
6 24 25 0
136 -4 23 0
8 -35 53 0
-13 30 -49 0
-55 -148 -28 0
12 -26 -74 0
136 102 -71 0
35 113 70 0
-118 -66 -60 0
53 58 -89 0
-133 126 -77 0
-44 32 150 0
148 98 8 0
148 133 -146 0
119 -8 98 0
32 80 -119 0
49 119 -42 0
1 23 4 0
23 51 64 0
-48 -142 -133 0
-104 68 46 0
-4 39 -32 0
73 -98 20 0
-137 19 39 0
-88 -118 -48 0
-77 10 13 0
99 15 17 0
-68 69 -121 0
144 143 131 0
-81 -135 125 0
-61 -41 -54 0
115 33 107 0
-123 119 83 0
-78 53 -32 0
-2 30 61 0
52 -147 -135 0
113 -19 -71 0
-39 -149 67 0
-95 -119 28 0
87 -91 142 0
-136 -72 74 0
77 -46 -121 0
-27 -138 -126 0
-58 14 29 0
-117 26 118 0
-100 17 31 0
-54 -45 1 0
