p cnf 100 400
-81 91 56 0
27 -9 60 0
98 16 -80 0
7 -20 67 0
-42 19 -18 0
81 -68 75 0
94 -71 -86 0
49 -48 -85 0
-48 -77 30 0
-96 36 6 0
9 50 22 0
-93 -1 71 0
-47 -96 -61 0
-3 44 -15 0
49 -13 38 0
-67 -24 -28 0
-43 -65 86 0
33 -6 -29 0
59 79 -66 0
79 6 99 0
61 40 -84 0
81 -38 20 0
84 -58 83 0
-59 -72 47 0
-33 52 -16 0
-32 -70 11 0
89 -78 -40 0
52 53 64 0
98 -28 -11 0
7 99 -85 0
-63 -41 -87 0
-84 95 53 0
-61 -57 65 0
-48 -93 31 0
49 2 -98 0
-13 -1 -43 0
57 -14 90 0
-36 21 -63 0
15 -47 -37 0
66 67 -15 0
-53 58 91 0
-99 -68 -21 0
90 -51 26 0
66 -76 -1 0
-43 -8 -80 0
-82 -16 27 0
-4 62 64 0
-78 -23 -58 0
44 72 -29 0
-65 89 -100 0
35 -78 -72 0
-8 -32 50 0
-50 1 6 0
-25 -84 -64 0
-89 -8 -86 0
-99 58 -90 0
55 45 67 0
-77 92 3 0
77 -36 -80 0
-43 -85 31 0
-82 40 77 0
-52 98 -10 0
-39 -61 -38 0
34 -70 37 0
72 -68 86 0
-78 79 -58 0
99 89 -8 0
-12 -35 -79 0
-38 -85 32 0
-7 -5 -12 0
-23 8 10 0
7 -77 -56 0
-97 33 -42 0
55 74 -89 0
-13 9 20 0
-10 -12 95 0
-34 81 -52 0
-50 6 -32 0
45 -81 -77 0
23 15 9 0
-6 -28 -87 0
-91 -78 33 0
-11 -30 -16 0
67 -98 29 0
68 -67 -86 0
-68 -97 61 0
72 6 21 0
30 72 99 0
19 98 15 0
47 -30 68 0
92 10 85 0
-27 -20 56 0
23 -46 -73 0
15 34 8 0
-81 93 60 0
-89 -21 82 0
7 10 45 0
-65 -77 73 0
47 42 -73 0
96 93 -98 0
51 -2 -18 0
-62 -72 15 0
-25 45 41 0
-53 60 -23 0
46 -37 9 0
-91 -23 -83 0
-27 -16 18 0
-66 -60 98 0
84 91 48 0
27 -34 -32 0
1 -6 -17 0
-15 -35 -94 0
-11 50 73 0
75 -49 3 0
82 42 44 0
61 46 -20 0
-5 -9 16 0
-47 -65 -100 0
94 -97 43 0
91 -79 -42 0
56 19 20 0
-66 75 67 0
-80 20 -60 0
85 -97 48 0
83 -14 73 0
35 -9 32 0
94 5 75 0
62 88 50 0
4 -100 -18 0
90 -40 65 0
-61 91 -56 0
-50 75 -21 0
28 7 67 0
