p cnf 90 360
-19 -38 22 0
85 11 -52 0
78 -9 -50 0
4 37 81 0
22 -58 29 0
76 -21 -71 0
79 62 41 0
-7 -51 28 0
37 45 57 0
13 47 3 0
-4 63 -49 0
64 -38 -85 0
-84 -77 47 0
70 -3 58 0
18 -76 5 0
7 10 18 0
74 66 -5 0
25 -5 59 0
-84 62 -39 0
44 -46 8 0
59 -50 -84 0
5 71 78 0
32 -20 -36 0
-40 73 18 0
-38 83 6 0
-21 -49 82 0
-22 14 -33 0
-6 -25 -64 0
-7 -22 -80 0
83 25 -65 0
-69 78 -39 0
-56 -6 86 0
-14 -20 -88 0
64 11 57 0
68 -60 59 0
-82 55 44 0
-24 2 -64 0
-87 -2 -4 0
8 20 -47 0
7 -55 -87 0
81 -60 15 0
58 65 -19 0
31 -13 -32 0
17 27 66 0
-12 -71 -31 0
-28 -49 -19 0
-13 -60 -2 0
-58 77 -44 0
-81 -10 -79 0
60 55 -80 0
-19 -18 20 0
-12 40 33 0
-49 -38 -84 0
-10 88 70 0
-50 54 14 0
7 -49 -17 0
-69 -40 17 0
-17 -27 -14 0
27 -59 14 0
-42 22 40 0
30 90 78 0
16 5 59 0
86 79 -74 0
5 -46 6 0
-80 27 -5 0
54 48 68 0
66 -6 74 0
71 49 -3 0
-40 62 -14 0
10 -25 -1 0
-21 -1 -58 0
73 -20 38 0
34 -65 3 0
-78 54 87 0
49 74 -56 0
-5 -45 37 0
50 -1 66 0
-86 -85 49 0
-60 78 89 0
-76 -2 -55 0
-43 -88 41 0
34 13 49 0
-61 59 86 0
68 -36 -56 0
32 20 27 0
83 10 84 0
-49 69 88 0
39 -1 84 0
35 -9 -58 0
-41 -3 39 0
-83 -77 -47 0
-70 -78 -4 0
-23 3 -17 0
86 -59 -42 0
-40 38 50 0
17 -45 13 0
-27 13 -38 0
17 -4 -45 0
65 76 32 0
-62 -12 61 0
87 -14 -53 0
-16 -61 -34 0
74 -13 37 0
13 6 16 0
1 3 -84 0
-21 10 33 0
-55 -71 -75 0
-19 -37 -62 0
-84 -42 -45 0
1 34 -51 0
56 63 65 0
-73 60 -12 0
-52 -82 37 0
29 27 79 0
80 -81 29 0
73 -22 58 0
-60 22 -78 0
7 35 -84 0
58 -35 -57 0
-33 -70 81 0
-78 9 -37 0
80 -49 31 0
-32 62 -1 0
-84 -70 64 0
17 62 -10 0
-8 -6 -23 0
-89 -9 -77 0
75 55 85 0
-9 -11 -90 0
43 76 -53 0
10 -65 85 0
66 -7 79 0
53 -85 -43 0
-22 36 10 0
-27 33 -31 0
-35 36 83 0
83 -39 58 0
12 46 -88 0
63 -37 80 0
-78 -54 56 0
-14 -40 77 0
-77 -66 58 0
-37 52 39 0
40 -17 3 0
78 24 44 0
53 81 62 0
-46 74 -90 0
-63 18 -10 0
-65 -68 73 0
57 86 -5 0
-90 -48 88 0
-19 9 -64 0
