p cnf 100 400
88 40 -74 0
-42 85 90 0
36 -89 -25 0
-1 -85 22 0
3 -19 -42 0
-3 -96 90 0
-89 58 88 0
10 -24 -62 0
55 25 -12 0
-32 -65 -59 0
36 92 -63 0
-12 72 63 0
83 8 1 0
-17 -9 13 0
-96 -100 -48 0
-15 -26 96 0
28 61 52 0
-28 -90 -77 0
-18 78 82 0
87 14 61 0
67 -23 -16 0
43 -99 67 0
45 -70 29 0
-88 -62 -89 0
-99 -14 35 0
19 1 24 0
-99 -97 94 0
-16 37 -12 0
-60 92 -71 0
-65 8 12 0
58 64 -28 0
81 -55 -49 0
-98 19 65 0
-95 16 41 0
-22 -12 -89 0
39 -51 80 0
50 -72 -33 0
-80 -93 -82 0
2 -50 -8 0
56 15 -58 0
-71 42 -25 0
26 -86 -34 0
88 40 50 0
62 -75 83 0
-62 -57 -69 0
11 -87 82 0
67 77 81 0
80 -21 2 0
-65 66 33 0
-27 -43 85 0
-8 92 -63 0
37 78 -32 0
-39 -36 97 0
-78 6 -95 0
-45 -75 35 0
88 67 -95 0
-53 19 68 0
2 64 -15 0
90 -33 61 0
60 -42 77 0
98 -32 44 0
77 -29 -84 0
-59 -47 34 0
-93 -63 71 0
-32 14 -26 0
-98 47 38 0
-1 -89 -74 0
-62 71 49 0
-88 -72 -5 0
2 38 -25 0
-64 36 -10 0
-47 -76 1 0
54 -52 -39 0
-51 -16 -95 0
-19 91 -75 0
-98 -11 55 0
1 -59 -3 0
85 -30 79 0
95 -9 -8 0
94 96 46 0
67 -83 23 0
-44 13 85 0
5 -60 -76 0
-87 -81 25 0
24 -80 75 0
-66 80 86 0
-48 63 -23 0
-86 35 -62 0
-11 -51 -68 0
-65 -98 4 0
-11 27 99 0
8 -55 79 0
40 -11 -83 0
-44 62 -45 0
-2 76 -1 0
66 65 51 0
-59 65 68 0
-55 40 -9 0
25 78 86 0
-70 -54 -88 0
-90 -71 -81 0
12 -84 -34 0
-51 86 -67 0
-47 4 63 0
95 -59 56 0
-57 96 -33 0
34 62 33 0
26 -1 36 0
70 -87 15 0
-18 5 -33 0
-12 17 9 0
41 87 1 0
10 -89 -26 0
-28 -8 70 0
75 -71 -80 0
-86 -4 30 0
43 60 -82 0
88 56 14 0
-39 29 4 0
83 59 -11 0
57 -51 -36 0
74 -40 76 0
-1 48 97 0
-1 6 -12 0
-34 35 90 0
40 -39 85 0
-42 88 -31 0
28 -2 37 0
-30 -37 34 0
56 30 14 0
99 50 39 0
-51 -54 31 0
-20 -82 -71 0
78 -68 -29 0
-94 -38 -7 0
-98 -2 -67 0
77 -66 -1 0
71 -24 -16 0
80 -78 -86 0
47 -63 -54 0
93 99 -28 0
-22 -67 13 0
24 -51 -54 0
-81 -38 35 0
-26 58 99 0
-56 -45 33 0
-25 -78 16 0
100 -52 -83 0
-49 -24 -61 0
86 51 -58 0
76 3 77 0
62 -70 -32 0
78 83 -35 0
-77 15 93 0
-55 2 33 0
-36 61 -37 0
74 28 -34 0
-52 80 -24 0
7 69 14 0
-25 82 -1 0
98 -85 -28 0
-98 -30 91 0
-33 49 -67 0
-33 89 57 0
87 -32 -15 0
-33 58 5 0
71 34 -11 0
97 -44 56 0
-8 -71 7 0
76 67 47 0
-51 -19 -1 0
73 38 24 0
-76 -7 -52 0
-97 43 45 0
-33 -50 27 0
56 88 38 0
-41 87 61 0
-68 -44 39 0
78 -73 -17 0
-78 -41 -8 0
-81 22 -44 0
-11 92 47 0
50 100 -68 0
21 -68 -32 0
-14 -63 -8 0
87 39 -23 0
-26 18 85 0
74 -66 -76 0
-68 28 -2 0
-29 47 98 0
-82 -25 34 0
-4 8 -29 0
83 78 44 0
-29 8 36 0
49 68 3 0
-78 -62 55 0
-18 -51 -4 0
6 14 -83 0
13 30 -62 0
-14 98 -19 0
-73 -44 52 0
36 76 -62 0
-82 -89 1 0
-54 -43 40 0
-88 38 -57 0
-31 71 -40 0
38 -89 72 0
69 70 84 0
89 16 -71 0
-71 -12 32 0
-90 -49 63 0
-72 -57 43 0
-34 62 -81 0
58 -73 72 0
-38 -81 92 0
-38 6 -87 0
2 49 44 0
14 -90 -55 0
9 64 72 0
19 32 -13 0
56 -52 29 0
18 73 -64 0
-45 72 -63 0
59 -63 7 0
-37 -52 36 0
-90 98 83 0
-52 31 -76 0
47 85 70 0
19 60 54 0
-12 -90 5 0
96 -73 32 0
13 14 -38 0
93 -27 -61 0
74 55 -33 0
66 80 69 0
-90 -54 34 0
-15 -72 -17 0
-47 42 -3 0
-54 -63 33 0
-56 -62 51 0
65 -50 -11 0
-85 7 -53 0
46 73 74 0
-3 -48 73 0
70 80 32 0
-56 28 -79 0
10 -62 13 0
19 49 -10 0
-55 -69 -84 0
68 -72 -84 0
-73 -36 65 0
-63 27 51 0
2 -8 41 0
-51 -62 -94 0
21 53 18 0
21 82 31 0
95 -39 28 0
69 -25 27 0
-94 54 15 0
9 33 91 0
90 -68 38 0
-6 59 -37 0
82 -45 20 0
-15 94 55 0
-31 -94 -5 0
-39 -93 -48 0
-90 92 34 0
-69 -8 7 0
-12 28 59 0
96 -39 70 0
-25 -66 51 0
24 44 -42 0
70 27 -85 0
35 -100 55 0
7 42 -98 0
53 -63 14 0
-47 -43 -97 0
94 -77 81 0
9 -56 11 0
43 -61 -12 0
-49 -38 72 0
35 94 -98 0
67 -35 -61 0
-76 -38 -32 0
59 -100 -8 0
-92 -12 -72 0
91 -70 -60 0
76 -77 4 0
-27 -64 65 0
74 11 38 0
-27 -18 46 0
3 -75 93 0
-63 42 31 0
-17 44 41 0
68 74 20 0
-21 -20 27 0
68 -50 60 0
-82 67 -64 0
93 -94 80 0
-80 -20 45 0
-5 30 -22 0
-18 -42 -30 0
35 9 -28 0
31 -42 -93 0
-36 -10 -81 0
21 -58 -63 0
-20 91 -85 0
-88 -41 6 0
-53 94 -92 0
-27 71 -34 0
63 -72 -68 0
2 -86 64 0
53 2 -86 0
40 49 80 0
4 -21 -27 0
66 53 -22 0
45 47 70 0
-22 -9 80 0
33 45 11 0
-37 16 -12 0
36 -83 33 0
10 87 71 0
-39 85 29 0
-50 -15 -84 0
40 -28 -53 0
-32 62 -45 0
-63 -38 80 0
34 -75 -66 0
-6 1 -89 0
9 62 -70 0
47 -37 -81 0
