p cnf 90 360
17 43 -1 0
-11 14 -74 0
19 -56 -13 0
63 49 -28 0
-17 -83 51 0
32 27 18 0
-22 84 67 0
-75 -1 -55 0
29 2 -44 0
23 4 87 0
43 -29 44 0
88 30 -73 0
-24 90 -15 0
89 90 -43 0
-9 73 -30 0
7 -5 -25 0
-45 -56 27 0
-28 -59 67 0
-68 -23 87 0
65 38 -70 0
-86 -20 13 0
11 -40 -75 0
-65 85 36 0
22 -6 -27 0
-81 -9 59 0
42 48 10 0
71 -77 49 0
-30 40 4 0
-69 54 23 0
72 -19 -67 0
-59 88 -32 0
68 -57 -7 0
-62 60 -63 0
-42 88 -80 0
-57 -89 44 0
-76 70 2 0
-81 -34 71 0
67 -11 -9 0
1 27 84 0
59 71 47 0
-44 -49 12 0
11 -83 47 0
-62 7 53 0
-34 -71 40 0
-56 -38 -80 0
-6 9 -81 0
-7 -22 -18 0
44 -77 1 0
18 29 -82 0
-58 -66 -73 0
-3 38 -63 0
-26 89 77 0
-81 -35 -55 0
-14 72 27 0
77 -21 -79 0
82 61 35 0
69 -22 3 0
70 -76 80 0
-43 -16 81 0
1 -84 69 0
55 -4 -36 0
-22 -77 -75 0
-39 17 -15 0
43 17 -71 0
-84 30 -7 0
-8 29 -66 0
-65 74 -88 0
-41 3 -27 0
21 -53 -48 0
88 -85 -9 0
57 28 73 0
6 -34 17 0
23 12 17 0
77 62 73 0
-38 14 -47 0
-59 90 -5 0
-22 -61 8 0
84 -65 31 0
-42 -33 54 0
-56 -21 -44 0
-61 21 -20 0
-77 7 -20 0
8 -74 76 0
-85 73 -5 0
-47 89 -28 0
-62 -36 87 0
-56 30 31 0
-55 -35 -69 0
86 -11 31 0
86 27 61 0
39 -24 -18 0
-4 -13 45 0
71 -7 -85 0
3 10 -32 0
-5 59 7 0
80 -6 33 0
-59 81 14 0
-59 11 46 0
71 55 63 0
-87 4 -10 0
-26 -57 47 0
40 -88 -59 0
-25 36 -88 0
-36 13 -89 0
14 23 -82 0
14 -65 -52 0
70 -50 -82 0
71 48 -89 0
-37 -81 27 0
-22 85 -51 0
7 78 -66 0
