p cnf 90 360
40 5 -25 0
82 -88 -29 0
2 44 -35 0
-75 27 -67 0
-45 -64 -67 0
-54 -90 -61 0
-24 -48 -49 0
-52 -8 83 0
88 -39 -37 0
24 78 66 0
-57 -83 -63 0
4 28 70 0
12 88 -50 0
24 20 -85 0
-90 -60 28 0
2 -40 -64 0
60 61 41 0
-87 -84 33 0
37 -14 -41 0
-35 -39 -26 0
-52 74 -34 0
28 75 -14 0
51 -38 -56 0
49 -50 -33 0
83 54 84 0
-20 -30 9 0
-49 -80 85 0
71 65 50 0
-13 -8 -31 0
-76 69 -67 0
-81 69 -89 0
45 -74 4 0
-89 36 55 0
-17 55 -90 0
-25 -32 77 0
27 57 10 0
44 64 13 0
-19 14 -88 0
-11 -58 -89 0
75 56 -40 0
-76 -70 -84 0
-59 6 -40 0
-75 -80 -73 0
79 -52 -73 0
-65 49 -34 0
-72 -77 75 0
-54 83 89 0
-90 13 -33 0
28 2 -29 0
-53 40 84 0
-60 55 -40 0
2 6 -76 0
-77 90 26 0
-45 -15 57 0
82 7 -90 0
51 83 28 0
22 -36 29 0
53 -1 84 0
16 -27 -64 0
53 -12 -84 0
-4 -70 -61 0
-45 -60 43 0
-35 -74 70 0
-66 -89 -29 0
72 56 86 0
32 -82 75 0
-35 -66 -64 0
-77 49 17 0
-38 -23 -8 0
-22 4 -34 0
-88 51 -38 0
3 -40 -89 0
-9 36 45 0
-85 -58 42 0
82 67 -12 0
-47 -89 51 0
-55 31 83 0
32 65 72 0
-42 -63 6 0
-87 -1 -45 0
-35 73 21 0
30 48 -3 0
-12 -54 62 0
6 -62 -74 0
-58 27 -6 0
31 -85 -35 0
46 -51 10 0
-4 11 -7 0
54 -48 -4 0
17 25 28 0
-75 -32 33 0
-45 15 43 0
-72 45 28 0
27 25 -82 0
-28 -50 12 0
44 -58 78 0
64 -41 51 0
64 -15 -38 0
-83 -47 61 0
-58 8 13 0
17 -67 -55 0
-36 -48 -30 0
-83 -53 87 0
11 26 57 0
18 -47 2 0
6 -38 -54 0
-87 44 -89 0
13 90 -11 0
66 37 1 0
-49 41 57 0
77 -74 5 0
40 -50 7 0
-80 -52 47 0
-37 -45 -74 0
1 77 89 0
-45 -67 24 0
-79 87 -18 0
9 36 -47 0
-46 -65 -29 0
6 43 31 0
88 -78 -28 0
59 -36 30 0
72 -73 22 0
61 36 28 0
-45 16 77 0
38 -46 62 0
50 -64 9 0
61 -3 20 0
-47 -52 77 0
70 73 -28 0
-56 19 13 0
-59 -72 -18 0
-35 -31 44 0
-22 2 45 0
-23 -18 85 0
40 -33 74 0
-48 -17 74 0
70 -74 -16 0
-22 80 71 0
-10 33 21 0
-86 39 -81 0
35 -26 -29 0
86 -40 70 0
58 53 75 0
4 -49 34 0
-26 54 -71 0
-48 43 -66 0
44 41 -16 0
-10 72 44 0
-19 63 -7 0
-61 -49 -6 0
29 5 36 0
14 -17 -87 0
-35 -67 -44 0
-47 80 54 0
76 -28 -9 0
76 48 69 0
75 -48 45 0
-85 64 70 0
4 -41 6 0
-41 -31 11 0
63 34 78 0
51 88 38 0
-59 -67 20 0
46 48 65 0
41 -16 4 0
-58 -49 42 0
-41 -28 15 0
42 15 -26 0
-24 2 33 0
-46 -83 16 0
62 24 -74 0
-17 -67 62 0
19 78 44 0
28 -7 -10 0
-19 75 -1 0
-60 73 82 0
-20 3 53 0
1 78 -45 0
-55 -59 -45 0
-65 -82 -24 0
59 -77 78 0
-33 -7 62 0
81 -33 31 0
30 -22 -41 0
57 52 -66 0
53 -71 9 0
-5 67 83 0
-57 3 51 0
-90 81 2 0
11 22 -82 0
47 -45 7 0
8 55 -35 0
35 29 13 0
-84 -46 -47 0
