p cnf 100 400
37 -34 -56 0
-98 -43 -46 0
52 -72 94 0
56 -79 -98 0
-12 -83 -28 0
73 98 -65 0
-46 8 3 0
17 65 52 0
-74 17 -49 0
-27 -32 98 0
-93 18 65 0
95 -32 57 0
-36 59 21 0
-26 71 36 0
-28 99 96 0
30 52 65 0
60 73 -18 0
100 -8 65 0
-54 -63 -62 0
-17 23 -14 0
33 -79 98 0
-21 -88 -83 0
-20 90 -60 0
-82 -30 -84 0
-81 4 43 0
-2 -13 -17 0
35 73 34 0
90 -38 -43 0
-92 15 -61 0
-82 21 -95 0
35 98 27 0
67 68 -17 0
83 -61 44 0
16 87 67 0
-79 95 -64 0
-1 -41 68 0
83 -80 56 0
-16 -74 39 0
30 46 -47 0
-69 29 -18 0
58 -21 -56 0
-94 -56 -79 0
-10 -30 -40 0
-8 61 -15 0
88 91 -65 0
-23 -78 43 0
-59 -49 92 0
8 9 -31 0
63 19 -1 0
93 59 76 0
-41 39 -90 0
-72 56 30 0
-76 -44 74 0
48 -88 86 0
-12 10 -99 0
97 99 50 0
20 1 -61 0
-53 7 51 0
-17 -52 -20 0
-11 -98 95 0
-95 62 -15 0
-3 14 -68 0
-1 -100 -54 0
-58 -23 -95 0
93 77 -80 0
-2 -6 85 0
-51 15 96 0
1 -83 60 0
-56 -93 9 0
35 -87 7 0
38 37 -63 0
-26 76 48 0
96 70 -84 0
-34 87 -17 0
17 -48 8 0
68 -100 42 0
34 -48 6 0
62 38 -81 0
-16 5 -18 0
90 -83 -97 0
-70 41 -46 0
-53 80 55 0
79 -45 -44 0
-21 -28 -76 0
-68 -23 94 0
-64 -96 5 0
28 83 -70 0
81 -55 -72 0
-17 46 2 0
-18 -6 -30 0
-16 46 -99 0
22 -70 -81 0
-48 39 -57 0
15 -83 -63 0
-50 24 96 0
47 -42 18 0
4 98 5 0
66 7 5 0
12 3 67 0
66 -14 70 0
-64 37 -77 0
38 55 18 0
-20 -94 -35 0
17 77 81 0
-70 -92 -78 0
-37 -94 -91 0
-3 -81 -60 0
11 33 96 0
-41 -65 -53 0
-63 -53 -11 0
49 10 -94 0
-79 35 78 0
-13 -70 -45 0
-12 -95 99 0
-13 -29 20 0
-3 -39 -36 0
64 17 -22 0
45 -21 68 0
-99 53 -68 0
-51 3 -38 0
65 -17 -33 0
-66 96 25 0
-63 56 -95 0
49 69 -48 0
-95 78 66 0
-83 18 -81 0
5 79 67 0
-50 -47 17 0
49 -47 11 0
-99 82 -39 0
-79 91 -88 0
47 -35 -92 0
16 -54 33 0
10 -49 -39 0
-59 -75 51 0
-23 -52 -74 0
81 66 23 0
-3 73 92 0
43 -67 -16 0
64 -24 -31 0
9 18 66 0
35 30 -82 0
-88 83 -17 0
60 -100 65 0
-100 92 -46 0
13 39 -47 0
-86 54 -76 0
17 -37 35 0
-86 -94 64 0
-100 40 -14 0
35 10 98 0
-80 46 -71 0
45 72 -12 0
33 28 74 0
15 -42 -82 0
-52 59 33 0
-46 -96 -73 0
-78 2 57 0
33 -11 -34 0
8 -75 21 0
-74 -83 10 0
-95 86 -85 0
11 -100 77 0
5 -80 -91 0
47 88 -50 0
-9 -100 -41 0
-13 -68 -53 0
47 11 -79 0
56 17 -10 0
8 14 58 0
-79 29 -46 0
59 -43 57 0
-9 100 -83 0
66 -74 20 0
75 60 14 0
-79 45 -9 0
60 -88 -71 0
-93 19 43 0
-75 2 -67 0
-29 -65 43 0
74 -76 -4 0
-95 14 3 0
14 70 76 0
-73 -88 86 0
-21 -55 -28 0
-59 -48 -94 0
23 -9 54 0
-12 -23 30 0
-62 -31 67 0
-62 -83 -25 0
82 -73 -95 0
82 -41 -64 0
84 -94 -64 0
65 72 64 0
-65 66 91 0
30 -56 -29 0
-70 19 3 0
-32 93 57 0
33 -25 -62 0
-53 -46 -85 0
20 73 49 0
-79 90 -38 0
39 25 -30 0
10 -61 -88 0
-65 -12 13 0
-47 86 74 0
100 79 -70 0
-72 7 -88 0
70 54 -58 0
-31 24 -62 0
-100 -25 58 0
95 70 8 0
-75 74 49 0
-97 -9 54 0
99 -95 -46 0
-47 -26 76 0
33 28 -50 0
-50 90 15 0
92 -88 -49 0
68 9 -77 0
6 55 16 0
-64 19 -91 0
-74 -8 -88 0
13 25 -45 0
12 81 -30 0
-99 11 -96 0
43 -19 26 0
10 -100 3 0
47 11 -90 0
19 29 72 0
16 44 60 0
36 13 -2 0
-28 52 -79 0
23 82 -53 0
25 53 -3 0
-83 48 85 0
-91 14 20 0
-33 90 71 0
94 31 1 0
99 -92 -60 0
-93 5 57 0
-85 -49 -82 0
