p cnf 80 320
-32 18 -8 0
-66 3 38 0
27 36 -79 0
-16 64 -26 0
35 -49 -9 0
-27 -72 57 0
17 -38 24 0
32 -57 -39 0
-11 42 -1 0
49 2 -37 0
-59 -63 -30 0
-56 -7 -30 0
72 23 6 0
-43 -76 70 0
16 -73 65 0
53 -49 -39 0
3 71 -14 0
-21 5 7 0
-8 56 -31 0
-23 54 62 0
-47 -6 65 0
-5 -28 -39 0
-54 17 72 0
50 9 35 0
-60 32 -25 0
42 43 -69 0
-33 -65 -32 0
-24 46 7 0
-20 58 -3 0
21 -73 1 0
-20 49 -7 0
-49 -59 24 0
-41 38 22 0
-56 60 -28 0
71 3 -42 0
-17 18 7 0
72 76 -26 0
30 -22 65 0
-68 -66 73 0
78 -55 -6 0
46 -75 31 0
-72 39 -15 0
-21 75 17 0
-76 -62 -43 0
-51 -65 76 0
25 12 -51 0
78 -35 40 0
-17 64 -60 0
-78 -69 20 0
-1 12 -73 0
-75 -21 23 0
-3 -40 -38 0
-52 -15 -6 0
43 -75 -2 0
21 29 66 0
1 -69 -63 0
71 32 75 0
-37 -30 33 0
-79 58 -18 0
3 -73 -33 0
-48 -8 -73 0
35 -42 -7 0
36 -75 -2 0
-13 10 -38 0
-42 52 -13 0
-74 -10 -47 0
-18 -38 56 0
-54 -47 -68 0
-22 18 -34 0
-77 -55 51 0
-52 -66 -19 0
-9 -65 55 0
-52 62 -75 0
-27 -2 13 0
43 -39 45 0
2 -18 -68 0
6 -5 -60 0
-57 -58 -38 0
-1 -21 30 0
38 -12 15 0
74 79 68 0
-59 -6 -75 0
10 43 1 0
13 21 -1 0
45 -53 -49 0
58 16 -3 0
36 -7 -59 0
-27 -67 -11 0
34 -73 46 0
19 -51 79 0
1 -79 -54 0
50 -68 -80 0
59 63 32 0
21 -67 -63 0
53 79 27 0
65 -54 29 0
2 -1 50 0
78 -9 69 0
-24 -31 -68 0
10 -49 -30 0
65 -41 58 0
5 49 -55 0
31 40 10 0
-39 -13 46 0
60 39 -4 0
19 -44 20 0
-14 -80 -7 0
-14 -73 48 0
-24 56 65 0
-32 57 -38 0
-65 53 56 0
6 -49 68 0
-60 74 25 0
-47 -9 -74 0
67 69 -14 0
48 13 -14 0
74 -20 8 0
-60 -20 34 0
-26 50 55 0
18 -36 14 0
-78 49 -45 0
-61 7 27 0
64 26 -14 0
80 -63 41 0
-60 64 -79 0
52 70 -5 0
62 49 -7 0
-77 22 71 0
-69 -19 -70 0
26 -3 31 0
-47 60 4 0
25 -4 -35 0
22 -52 -65 0
-8 80 -23 0
-21 -60 65 0
-10 7 -23 0
28 -75 33 0
-73 38 -51 0
77 16 -20 0
22 -52 -78 0
-20 -7 -67 0
15 -23 17 0
-1 -70 4 0
-12 -50 76 0
-16 -55 1 0
10 -31 75 0
53 -74 -78 0
79 -61 -48 0
47 -72 -7 0
-30 61 70 0
-24 30 -13 0
60 53 17 0
43 79 -18 0
-57 77 14 0
79 80 -73 0
-76 -38 18 0
7 33 -9 0
52 54 -65 0
6 34 -76 0
-47 34 -19 0
74 -58 -44 0
-76 41 -13 0
63 7 -68 0
56 50 -45 0
5 -36 -63 0
-52 47 37 0
18 6 -24 0
63 -41 64 0
1 78 -42 0
-7 64 8 0
29 38 14 0
-30 -2 19 0
4 -65 -61 0
74 26 24 0
-53 56 64 0
64 -72 -25 0
-48 -74 79 0
-68 51 -20 0
-27 68 46 0
41 73 57 0
-47 -43 -69 0
68 21 -4 0
-1 50 46 0
40 -35 19 0
-43 29 -7 0
19 16 32 0
-53 -25 -34 0
-13 -61 19 0
-6 7 -20 0
-79 -2 -25 0
62 51 77 0
54 74 -5 0
-71 -69 52 0
-44 -34 47 0
-69 -33 -79 0
-11 -71 55 0
50 -49 -3 0
-22 -44 53 0
-60 6 -55 0
-67 17 24 0
13 45 -76 0
-4 28 -63 0
48 -15 65 0
2 29 22 0
-38 -23 -16 0
52 2 72 0
75 -79 -27 0
-47 -28 69 0
-75 69 -35 0
-21 73 4 0
68 47 -55 0
-38 -44 -30 0
68 -43 8 0
-2 -27 3 0
-49 -21 -40 0
3 -78 -6 0
-55 67 -32 0
-32 55 -52 0
76 -74 -21 0
57 -73 -71 0
-2 14 -63 0
72 -29 79 0
-50 -61 76 0
-20 -18 74 0
77 -9 7 0
12 -49 -74 0
57 -45 -34 0
13 19 -9 0
44 75 24 0
20 -27 47 0
23 -73 7 0
-5 22 10 0
22 -76 74 0
-75 41 31 0
-35 -15 16 0
-47 -42 -67 0
15 -49 -13 0
25 -54 -9 0
18 -66 61 0
32 -26 62 0
49 15 9 0
44 11 28 0
-21 -66 59 0
-43 63 36 0
17 -46 19 0
-54 45 48 0
-10 -22 3 0
-62 -31 40 0
-6 -58 -66 0
48 35 -41 0
-17 8 -4 0
48 -17 -53 0
4 2 -14 0
22 -64 38 0
-40 53 -58 0
-47 -7 -73 0
-68 -63 -15 0
-32 13 27 0
73 18 37 0
-48 52 -23 0
-49 -34 -54 0
75 -10 29 0
23 9 57 0
-45 -3 61 0
64 15 -44 0
-48 -6 -38 0
53 29 8 0
-58 -77 -33 0
73 2 3 0
48 53 -5 0
-68 -77 28 0
-75 -59 55 0
50 54 45 0
-9 80 -58 0
10 39 -5 0
38 56 14 0
27 67 62 0
-7 21 -18 0
68 -59 -5 0
-75 72 -47 0
29 -77 -3 0
35 -4 54 0
18 27 41 0
66 48 -38 0
-33 59 80 0
-35 2 -1 0
71 22 7 0
43 58 -71 0
56 27 52 0
57 58 14 0
66 -76 -16 0
-68 -53 44 0
-26 -50 25 0
33 -56 7 0
13 -79 56 0
-61 60 19 0
-26 3 -47 0
-58 38 74 0
18 -77 -76 0
20 -59 74 0
-38 -13 -1 0
-77 -52 43 0
77 58 44 0
-73 -16 -65 0
-7 -76 38 0
-18 44 36 0
30 -32 -27 0
-59 22 69 0
6 -22 -43 0
-41 79 -71 0
-59 27 23 0
-79 -39 -47 0
-71 -79 74 0
-1 -30 -79 0
-28 72 -45 0
60 -31 50 0
-70 13 64 0
-49 54 34 0
-30 -8 7 0
-2 -47 80 0
